customer_id,first_name,last_name,email,phone_number,address_line1,address_line2,city,state,postal_code,country,date_of_birth,gender,created_at
2373552302,Tim,Flores,larsonmichael@example.org,994.595.3309x43712,6594 Farmer Summit,Apt. 826,Port Virginialand,Vermont,82891,Turkey,1966-10-20,M,2020-10-29 22:26:41
3220284819,Stephanie,Murray,qsaunders@example.com,510-553-9699x30375,49236 Owen Orchard,Suite 712,Jimmychester,Missouri,41440,Madagascar,2001-03-28,M,2022-11-25 10:42:52
4496253957,Kimberly,Elliott,marie66@example.net,+1-896-492-2761x5077,035 Susan Forge,Apt. 099,Jimenezshire,Rhode Island,08964,British Virgin Islands,1961-07-10,F,2020-06-28 01:35:10
372331161,Jonathan,Carter,yorkandrew@example.org,001-688-505-7685,61210 Ramsey Shore Suite 324,Suite 417,Markport,Rhode Island,85143,Mexico,1959-04-27,O,2020-01-04 04:24:09
5475870715,Mary,Pena,pamela61@example.org,(820)597-7488x1957,458 Vanessa Grove Suite 463,Suite 991,Rodriguezland,South Carolina,94114,Angola,1988-11-23,F,2021-12-12 13:44:26
8340822325,Christine,Johnson,james88@example.org,408-308-1678x84687,0136 Shelia Pike,Apt. 098,Swansonchester,Colorado,80599,Trinidad and Tobago,1971-10-08,M,2022-08-06 02:22:03
1969864480,Donald,Cameron,weaveramanda@example.com,766-516-1447x79971,4650 Rachel Villages Apt. 312,Apt. 930,Port Ronald,North Carolina,74017,Togo,1992-06-11,M,2025-03-06 04:12:40
196977225,Michael,Elliott,andreajohnson@example.org,(274)351-7088x5698,842 John Garden Suite 849,Apt. 475,North Joseph,Tennessee,11131,Taiwan,2003-05-16,O,2021-02-05 00:26:38
9437287600,Jennifer,Cook,barnesstacey@example.com,001-273-988-1528,7965 Kristin Field,Suite 465,North Robertmouth,Wisconsin,32807,Bulgaria,1999-02-22,F,2020-07-07 14:25:11
1258067117,Vanessa,Lopez,andersonjustin@example.org,001-993-950-0109x229,36027 Marquez River,Suite 796,North Aprilchester,Montana,22503,Aruba,1954-02-11,M,2022-02-11 05:42:59
5441207524,Janet,Williams,huynhjessica@example.net,001-582-760-7068,250 Dennis Summit,Suite 478,West Teresa,Georgia,58608,Japan,1983-11-03,F,2024-07-15 01:20:00
9816857112,Kenneth,Martinez,campbellrichard@example.com,+1-707-676-7374x7087,787 Mccarthy Landing,Suite 511,West Mary,Tennessee,79075,Guernsey,1969-12-07,M,2021-03-23 10:01:53
5676142351,Bryan,Howell,andrewbailey@example.net,+1-534-459-7082x45149,924 Willie Circles Suite 459,Suite 672,New Hannah,Michigan,82024,North Macedonia,1969-11-22,M,2020-06-12 19:17:18
2984909583,Elizabeth,Johnson,sherry97@example.com,4072015645,79002 Patricia Ranch Suite 944,Apt. 012,East Sarahton,Utah,73301,Turkey,1975-06-27,M,2021-03-07 00:56:36
624798638,Alexandra,Johnson,laura07@example.com,4462362935,03598 Melissa Ford Suite 166,Suite 887,Hunterbury,Colorado,49605,Malta,1973-12-11,M,2023-05-18 17:02:47
450097696,William,Ferguson,hwilliams@example.com,001-289-713-8108x036,8874 David Lane Suite 053,Suite 530,Nathanborough,New Hampshire,37284,Bangladesh,1980-03-08,O,2024-06-15 19:14:56
7262220807,Denise,Lewis,christensendillon@example.com,(231)807-4059,8270 Shane Pike Suite 081,Apt. 248,South Stacy,Tennessee,07248,Saint Lucia,1998-10-06,O,2024-05-12 11:28:44
5323345196,Jason,Prince,katie07@example.org,696.272.5769x59482,25479 Nicholas Valleys Suite 807,Apt. 229,Michaelchester,Alaska,98005,Libyan Arab Jamahiriya,2005-12-10,F,2020-05-09 05:57:53
8416050298,Amy,Jordan,fburke@example.org,(771)283-6817x95414,9241 Theresa Lights,Apt. 855,Port James,Tennessee,15837,New Caledonia,1989-03-28,O,2023-09-12 08:55:59
4609214717,Jamie,Smith,escobarkyle@example.org,(625)929-5940x78647,5726 Taylor Coves Suite 711,Suite 650,Hughesborough,Maine,23523,Comoros,1945-05-25,O,2025-07-04 12:16:52
5303062421,Courtney,Acevedo,margaret32@example.com,887-356-8377x898,950 Valdez Coves Apt. 976,Suite 533,Davidton,Wisconsin,63461,Sudan,1961-08-23,M,2024-07-10 19:52:30
6154337338,Jason,Bush,mcculloughcandice@example.com,753.529.1879x7324,7215 Carol Road,Apt. 984,Ashleyton,Virginia,39339,Panama,1977-02-06,F,2020-10-20 00:45:30
4226861635,Gregory,Robinson,greenvicki@example.net,(324)211-5305,321 Barnett Drives Apt. 311,Suite 761,Lopezview,Missouri,44229,Bolivia,2006-02-01,F,2024-03-22 18:11:43
4186689030,Rebecca,Mejia,juanreed@example.org,+1-822-858-1723x346,2807 Parker Harbor,Suite 029,Harriston,Nebraska,83738,Israel,1962-06-09,F,2021-08-14 03:35:06
7910767577,Jackson,Walker,bassjason@example.net,750-762-6212x1145,246 Victoria Knolls Suite 647,Suite 104,North Corey,Tennessee,87251,Andorra,1969-10-10,F,2023-08-16 12:09:24
7114387023,David,Lucas,herrerapatricia@example.com,752-937-8602,93815 Williams Cove,Apt. 297,East Gary,Nebraska,74202,Bolivia,1943-12-14,O,2025-05-01 07:54:54
2403266029,Christopher,Rogers,eriksantiago@example.org,(214)877-3569x97512,85458 Alvarado Glen,Apt. 984,Julieton,Wyoming,17846,Puerto Rico,1939-07-31,O,2021-10-18 17:13:36
4836634905,Jared,Mcguire,martinanthony@example.net,4194232204,390 Harper Valley Apt. 032,Apt. 450,Mistyview,Idaho,82154,Papua New Guinea,1945-04-27,M,2022-02-17 18:07:43
9710911922,Brent,Torres,kevin25@example.org,919-401-0659,65492 Jill Village,Apt. 807,Lauraside,Rhode Island,33547,French Southern Territories,1977-04-26,O,2020-07-01 02:29:47
216588996,Scott,Mendoza,burkedavid@example.com,239-589-3529x07147,69702 Paul Stream Apt. 791,Suite 221,Kathyville,New Jersey,73829,Falkland Islands (Malvinas),2004-09-12,M,2023-04-25 15:01:06
2372153794,Erin,Wright,ataylor@example.com,+1-683-531-4569x09090,292 Mays Place Apt. 147,Suite 961,Port Danielborough,Georgia,34602,Ireland,1940-10-26,F,2023-07-31 22:04:02
4576316150,Morgan,Hess,hhester@example.com,(450)230-7511x219,588 Gordon Extension,Apt. 815,East Emily,Kentucky,77366,Monaco,1984-04-27,O,2020-09-13 04:20:42
3324189797,Allison,Gomez,ellen18@example.net,+1-981-552-1438,3825 Kyle Parks Suite 645,Apt. 615,Bakerside,Nevada,30781,United States of America,1988-09-05,F,2020-08-27 02:54:26
576753965,Kylie,Franklin,markmartinez@example.org,001-225-488-5231,77045 Cox Hill Apt. 150,Suite 372,Chanberg,Oklahoma,11404,Chad,1996-06-14,O,2020-12-26 09:56:13
