address_id,customer_id,address_line1,address_line2,city,state,postal_code,country
85233809681,1175220288,50314 Sanders Estates Apt. 602,Suite 218,South Erika,Kansas,75719,Moldova
779537273547,1175220288,4821 Smith Bypass,Apt. 846,North Sarafort,Michigan,29801,United Kingdom
533163323826,608777649,60441 Hammond Lock,Apt. 644,Thompsonborough,Pennsylvania,46234,Angola
511014121586,608777649,1671 Hill Circles,Apt. 671,North Feliciastad,Arizona,89157,Cameroon
923410540098,5071231726,5249 David Springs Apt. 367,Suite 271,Port Christopher,Michigan,71436,Bulgaria
670367796326,5071231726,8976 Brian Way Apt. 517,Apt. 267,Jamesburgh,Maine,95348,Switzerland
448545293499,6226301782,21706 Timothy Causeway,Apt. 264,New Katherineside,Missouri,65213,Northern Mariana Islands
990515154715,6226301782,9452 Bryant Mountains,Suite 207,Rebekahview,New Mexico,42369,Italy
807436794105,6226301782,75927 Marissa Lights,Apt. 037,Matthewberg,Nevada,90114,Tokelau
653589018144,8113244262,522 Ronald Camp Suite 462,Apt. 798,North Heidi,Massachusetts,90391,Sweden
856938946404,8113244262,726 Burton Islands,Suite 693,Macdonaldstad,Oregon,27705,Saint Pierre and Miquelon
662628717093,3629876206,136 Thomas Glens,Apt. 931,Grahamborough,Colorado,02088,Germany
462610246433,1921238861,91483 Emily Trail,Suite 094,Melindastad,Texas,53918,Sri Lanka
82076036574,1921238861,9143 Morton Underpass Apt. 782,Suite 175,Port Theodorefurt,New Jersey,42593,Suriname
939239716775,1921238861,72909 Matthew Field,Suite 993,Jeremyfort,Florida,11587,Brunei Darussalam
983646434571,8040724404,6532 Michael Light Apt. 089,Apt. 777,Markview,Alabama,83484,Tunisia
278701999130,6655521628,71811 Heather Route,Suite 465,Sarahport,Texas,71963,Antarctica (the territory South of 60 deg S)
674515014364,6655521628,580 Lisa Trail Suite 694,Suite 841,Sabrinaland,Iowa,45129,Northern Mariana Islands
600159993736,8210893910,320 Santiago Walks,Suite 842,Hallton,Michigan,21314,Oman
298700255561,8210893910,59397 Joanne Forge,Suite 783,Lake Charlesberg,Ohio,41461,Central African Republic
8466746371,8210893910,06332 Hammond Estate,Suite 994,Port Jacquelineview,Texas,43874,British Indian Ocean Territory (Chagos Archipelago)
727163318932,5341948049,4582 Kevin Rest Suite 564,Apt. 508,Thomasside,New Hampshire,36343,Sri Lanka
547042241255,5341948049,78999 Natalie Coves Suite 194,Suite 473,Sharonchester,Iowa,92480,Monaco
911916766772,9114154731,75535 Flynn Rapids Suite 198,Apt. 433,Nelsonshire,New Jersey,08505,Korea
948163810929,9114154731,784 Wyatt Inlet Apt. 788,Apt. 952,Petersonmouth,Missouri,86392,Colombia
701857775148,7115678637,822 William Stravenue,Apt. 460,South Jimmytown,Florida,95104,Namibia
